data,country,holiday_name,is_bank,,,,,,,,
3/20/2024,ethiopia,March Equinox,0,,,,,,,,
4/9/2024,ethiopia,Festival of Breaking the Fast,1,,,,,,,,
5/1/2024,ethiopia,Orthodox Good Friday,0,,,,,,,,
5/3/2024,ethiopia,Orthodox Easter,1,,,,,,,,
5/5/2024,ethiopia,International Workers' Day,0,,,,,,,,
5/5/2024,ethiopia,Ethiopian Patriots Victory Day,1,,,,,,,,
5/12/2024,ethiopia,Mother's Day,0,,,,,,,,
5/28/2024,ethiopia,Derg Downfall Day,0,,,,,,,,
6/16/2024,ethiopia,Feast of the Sacrifice,1,,,,,,,,
6/16/2024,ethiopia,Father's Day,0,,,,,,,,
6/20/2024,ethiopia,June Solstice,0,,,,,,,,
7/7/2024,ethiopia,Islamic New Year's Day,1,,,,,,,,
9/10/2024,ethiopia,Birth of the Prophet,1,,,,,,,,
9/11/2024,ethiopia,Ethiopian New Year's Eve,0,,,,,,,,
9/15/2024,ethiopia,Ethiopian New Year's Day,1,,,,,,,,
9/22/2024,ethiopia,September Equinox,0,,,,,,,,
9/27/2024,ethiopia,Finding of the True Cross,1,,,,,,,,
12/21/2024,ethiopia,December Solstice,0,,,,,,,,
12/31/2024,ethiopia,New Year's Eve,0,,,,,,,,
